X,Y
241.08670039999998,-299.8572165
241.15157119999998,-299.935872
241.2172268,-300.01547550000004
241.28368159999997,-300.096036
241.35094999999998,-300.1775625
241.41904639999998,-300.260064
241.48798520000003,-300.3435495
241.5577808,-300.42802800000004
241.62844760000002,-300.51350850000006
241.7,-300.6
241.7,-300.6
241.75123989999997,-300.6602696
241.80295919999998,-300.7210768
241.8551573,-300.78241919999994
241.90783359999998,-300.84429439999997
241.96098749999996,-300.9067
242.01461839999996,-300.96963359999995
242.06872569999996,-301.03309279999996
242.1233088,-301.0970752
242.1783671,-301.16157840000005
242.2339,-301.2266
242.28990690000003,-301.2921376
242.34638719999995,-301.3581888
242.4033403,-301.4247512
242.46076559999997,-301.49182240000005
242.51866249999992,-301.5593999999999
242.57703039999996,-301.62748159999995
